English Text (en_XX),Malayalam Text (ml_IN)
"en_XX: “Treason is a blow that comes unexpectedly. If you know your heart well, it will never be able to do that to you. Because you’ll know its dreams and wishes, and will know how to deal with them.",ml_IN: വിശ്വാസവഞ്ചന ഓര്‍ക്കാപ്പുറത്തു കിട്ടുന്ന ഒരടിയാണ്‌. ഹൃദയത്തെ പൂര്‍ണ്ണമായും മനസ്സിലാക്കിക്കഴിഞ്ഞാല്‍ പിന്നെ ഒരിക്കലും അതു നിന്നെ വഞ്ചിക്കുകയില്ല. അതിന്റെ മോഹങ്ങളും സങ്ക്ലപങ്ങളും നിനക്ക്‌ തൊട്ടറിയാ നാകും. അവ കൈകാര്യം ചെയ്യേണ്ടതെങ്ങനെ എന്നും നീ ക്രമേണ പഠിക്കും.
"en_XX: “You will never be able to escape from your heart. So it’s better to listen to what it has to say. That way, you’ll never have to fear an unanticipated blow.”",ml_IN: “ഭയത്തിനടിമപ്പെടരുത്. പിന്നെ ഹൃദയത്തിന്റെ വാക്കുകള്‍ കേള്‍ക്കാന്‍ പറ്റാതെയാകും.” അയാളുടെ സ്വരം വളരെ ശാന്തമായിരുന്നു.
"en_XX: “Even though I complain sometimes,” it said, “it’s because I’m the heart of a person, and people’s hearts are that way. People are afraid to pursue their most important dreams, because they feel that they don’t deserve them, or that they’ll be unable to achieve them. We, their hearts, become fearful just thinking of loved ones who go away forever, or of moments that could have been good but weren’t, or of treasures that might have been found but were forever hidden in the sands. Because, when these things happen, we suffer terribly.”","ml_IN: മനുഷ്യന്റെ ഹൃദയം, അതിങ്ങനെയൊക്കെത്തന്നെയാണ്‌..' അവനെ പറഞ്ഞു മനസ്സിലാ ക്കുകയായിരുന്നു അവന്റെ ഹൃദയം. പലര്‍ക്കും വലിയ വലിയ സ്വപ്നങ്ങള്‍ കാണും. പക്ഷേ, അതൊന്നും സഫലമാക്കി കിട്ടാനായി അവര്‍ ശ്രമിക്കാറില്ല. അത്രയ്ക്കൊന്നും താനര്‍ഹിക്കുന്നില്ല എന്ന്‌ ഒരു സ്വയം വിശ്വാസമില്ലായ്മ. അല്ലെങ്കില്‍ തന്നെക്കൊണ്ട്‌ അതിനൊന്നു മാവില്ല എന്ന പരാജയഭീതി,” ഹൃദയം പറഞ്ഞുകൊണ്ടടേയിരുന്നു: “മടക്ക യാത്രയില്ലാത്ത വഴിയിലൂടെ എന്നെന്നേക്കുമായി ഇറങ്ങിത്തിരിക്കുന്ന പ്രിയ പ്പെട്ടവര്‍. തൊട്ടു തൊട്ടില്ല എന്ന മട്ടില്‍ കൈയില്‍നിന്നു വഴുതിപ്പോകുന്ന സൌഭാഗ്യങ്ങള്‍. ഒന്നു തോണ്ടിയാല്‍ കിട്ടുമെന്നിരിക്കേ കാണാമറയത്തു കാത്തുകിടക്കുന്ന നിധികള്‍. ഇതൊക്കെയോര്‍ത്ത്‌ ഞങ്ങള്‍, മനുഷ്ൃഹൃദയ ങ്ങള്‍, വ്യാകുലപ്പെടാറുണ്ട്‌. അങ്ങനെയൊക്കെ സംഭവിക്കുമ്പോള്‍ കഠിന മായ വേദനയും അനുഭവിക്കാറുണ്ട്‌.”"
"en_XX: “My heart is afraid that it will have to suffer,” the boy told the alchemist one night as they looked up at the moonless sky.",ml_IN: നിലാവില്ലാത്തൊരു രാത്രി. വെറുതെ മാനത്തേക്കു നോക്കി കിടക്കവേ അവന്‍ ആല്‍കെമിസ്റ്റിനോടു പറഞ്ഞു: “ഒടുവില്‍ വല്ലാതെ ദുഃഖിക്കേണ്ടി വരുമെന്നോര്‍ത്ത്‌ എന്റെ മനസ്സ്‌ പരിര്രമിക്കുന്നു.”
"en_XX: “Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams, because every second of the search is a second’s encounter with God and with eternity.”","ml_IN: “എന്നാല്‍ നിന്റെ ഹൃദയത്തോട്‌ പറഞ്ഞേക്ക്‌, അതുകൊണ്ട്‌ യാതൊരു പ്രയോജനവുമില്ലെന്ന്‌. യഥാര്‍ത്ഥ വേദനയെക്കാള്‍ ഭയങ്കരമാണ്‌ വേദനി ക്കേണ്ടിവരുമല്ലൊ എന്നു പേടിച്ചുകൊണ്ടുള്ളു വേദന. അല്ലെങ്കിലും ഇതു പോലെ സ്വന്തം സ്വപ്നം സാക്ഷാത്കരിക്കാനുള്ള യാത്രയില്‍ ഒരു ഹൃദ യവും നോവനുഭവിക്കേണ്ടതില്ല. കാരണം, ഈ അന്വേഷണത്തിലെ ഓരോ നിമിഷവും അയാളെ ഈശ്വരന്റെ അനന്തശക്തിയോട്‌ കൂടുതല്‍ കൂടുതല്‍ അടുപ്പിക്കുന്നു. ഓരോ നിമിഷവും ഈശ്വരനുമായുള്ള ഒരു നിമിഷത്തെ കൂടിക്കാഴ്ചയാണ്‌.”"
"en_XX: So his heart was quiet for an entire afternoon. That night, the boy slept deeply, and, when he awoke, his heart began to tell him things that came from the Soul of the World. It said that all people who are happy have God within them. And that happiness could be found in a grain of sand from the desert, as the alchemist had said.",ml_IN: 131 ആല്‍കെമിസ്റ്റ്‌ അന്നുച്ചമുഴുവന്‍ അവന്റെ മനസ്സ്‌ ശാന്തമായിരുന്നു. രാത്രി സുഖമായി ഉറങ്ങാനും സാധിച്ചു. രാവിലെ എഴുന്നേറ്റപ്പോള്‍ വീണ്ടും മനസ്സ്‌ മ്രത്രിക്കാന്‍ തുടങ്ങി. പ്രപഞ്ചാത്മാവിന്റെ മാറ്റൊലിയായിരുന്നു അതത്രയും. ഈശ്വരന്റെ സാന്നിദ്ധ്യമുള്ള മനസ്സ്‌ സ്വസ്ഥവും സന്തുഷ്ടവുമായിരിക്കും. ആല്‍കെ മിസ്റ്റ്‌ പറയുംപോലെ മരുഭൂമിയിലെ മണല്‍ത്തരിയിലും ആനന്ദം കണ്ടെ ത്താനാകും. അനുസ്യൂതമായി തുടര്‍ന്നുപോകുന്ന സൃഷ്ടി. അതിലെ ഒരു നിമിഷാംശം മാത്രമല്ലേ ഈ മണല്‍ത്തരി. അങ്ങനെ കോടാനുകോടി വര്‍ഷ ങ്ങളിലൂടെ തുടര്‍ ന്നുപോകുന്ന പ്രക്രിയയുടെ ഫലമല്ലേ ഈ പ്രപഞ്ചം.
"en_XX: Later, we simply let life proceed, in its own direction, toward its own fate. But, unfortunately, very few follow the path laid out for them—the path to their Personal Legends, and to happiness. Most people see the world as a threatening place, and, because they do, the world turns out, indeed, to be a threatening place.","ml_IN: കഷ്ടമെന്നല്ലാതെ എന്തു പറയാന്‍. അപൂര്‍വം ചിലര്‍ മാത്രമേ അവരവരുടെ ജീവിതത്തിന്റെ ദൌത്യം ഗ്രഹിക്കുന്നുള്ളൂു. ആ ലക്ഷ്യത്തിലേക്കു മുന്നേറി സന്തുഷ്ടി കൈവരിക്കുന്നുള്ളൂ. പലരുടെയും കാഴ്ചപ്പാടില്‍ ഈ ലോകം വളരെയേറെ ഭയപ്പെടേണ്ട എന്തോ ഒന്നാണ്‌. അതുകൊണ്ടുതന്നെ അവരുടെ മുമ്പില്‍ ലോകവും നിന്നുകൊടുക്കുന്നു, ഭയപ്പെടുത്തുന്ന എന്തോ സ്വരൂപ മായി."
"en_XX: “So, we, their hearts, speak more and more softly. We never stop speaking out, but we begin to hope that our words won’t be heard: we don’t want people to suffer because they don’t follow their hearts.”","ml_IN: “അതുകൊണ്ടാണ്‌ ഞങ്ങള്‍ ഹൃദയങ്ങള്‍ എപ്പോഴും സ്വകാര്യം പറയു ന്നത്‌. കേള്‍ക്കുന്നില്ലെങ്കില്‍ വേണ്ട എന്ന ഭാവത്തില്‍ എല്ലാം കേള്‍ക്കു ന്നുണ്ട്‌. പക്ഷേ, ആ വഴി നടക്കാന്‍ വയ്യ എന്ന മനസ്താപം ആര്‍ക്കും ഉണ്ടാ കരുതല്ലേ. എന്നാലും മിണ്ടാതിരിക്കാന്‍ ഞങ്ങള്‍ക്കാവില്ല.”"
en_XX: “So what should I do now?” the boy asked.,ml_IN: അവന്‍ ചോദിച്ചു; “ഇനി ഞാന്‍ എന്താണ്‌ ചെയ്യേണ്ടത്‌?”
"en_XX: Three armed tribesmen approached, and asked what the boy and the alchemist were doing there.",ml_IN: ആയുധധാരികളായ മൂന്നു ഗോത്രവര്‍ഗ്ഗക്കാര്‍. അവര്‍ രണ്ടുപേരും അവിടെ എന്തു ചെയ്യുന്നു എന്നവര്‍ക്കറിയണം.
"en_XX: “I’m hunting with my falcon,” the alchemist answered.",ml_IN: “ഞാനോ? എന്റെ പരുന്തിനെ തീറ്റുന്നു.” അയാളുടെ മറുപടി.
"en_XX: “We’re going to have to search you to see whether you’re armed,” one of the tribesmen said.",ml_IN: “എന്തായാലും നിങ്ങളെ പരിശോധിക്കേണ്ടിയിരിക്കുന്നു; ആയു ധങ്ങളെന്തെങ്കിലും കൈവശമുണ്ടോ എന്നറിയണം.” അവരിലൊരാള്‍ പറഞ്ഞു.
"en_XX: The alchemist dismounted slowly, and the boy did the same.",ml_IN: ആല്‍കെമിസ്റ്റ്‌ കുതിരപ്പുറത്തുനിന്നും മെല്ലെ ഇറങ്ങി; ഒപ്പം അവനും.
"en_XX: “Why are you carrying money?” asked the tribesman, when he had searched the boy’s bag.",ml_IN: “കൈയില്‍ പണം കരുതിയിരിക്കുന്നതെന്തിനാണ്‌?” ചോദ്യം അവനോ ടായിരുന്നു. പരിശോധനയ്ക്കിടയില്‍ അവന്റെ സഞ്ചിയിലുള്ള പണം അവര്‍ കണ്ടെത്തിയിരുന്നു.
"en_XX: “I need it to get to the Pyramids,” he said.",ml_IN: “ഞാന്‍ പിരമിഡു കാണാന്‍ പോകുകയാണ്‌.” അവന്‍ പറഞ്ഞു.
"en_XX: They continued across the desert. With every day that passed, the boy’s heart became more and more silent. It no longer wanted to know about things of the past or future; it was content simply to contemplate the desert, and to drink with the boy from the Soul of the World. The boy and his heart had become friends, and neither was capable now of betraying the other.",ml_IN: അവര്‍ പിന്നെയും യാര്ര തുടര്‍ന്നു. ഓരോ ദിവസം ചെല്ലുന്തോറും അവന്റെ മനസ്സ്‌ കൂടുതല്‍ കൂടുതല്‍ നിശ്ശൂബ്ദമാകുന്നതുപോലെ. ഇപ്പോള്‍ അതിനൊന്നുംതന്നെ പറയാനില്ല എന്ന മട്ട്‌. കഴിഞ്ഞതും വരാന്‍ പോകു ന്നതും ഒന്നും. മരുഭൂമിയില്‍ പാടെ അലിഞ്ഞുചേര്‍ന്നതുപോലെ. യാതൊരു തരത്തിലുള്ള വിചാരങ്ങളും അതിനെ ബാധിക്കുന്നില്ല എന്ന ഭാവം. അവനും അവന്റെ മനസ്സും പൂര്‍ണ്ണമായും ഒന്നായിക്കഴിഞ്ഞിരുന്നു. രണ്ടും ഒരുപോലെ പ്രപഞ്ചാത്മാവിന്റെ ഭാഗങ്ങള്‍.
en_XX: “Does that mean that I’ll never run into danger?”,ml_IN: “അതിന്റെ അര്‍ത്ഥം എനിക്കൊരിക്കലും ഒരാപത്തും പറ്റുകയില്ലെ ന്നാണോ?”
"en_XX: “It means only that the heart does what it can,” the alchemist said.",ml_IN: “അതിന്റെ അര്‍ത്ഥം തന്നാലാവുന്നവിധത്തിലൊക്കെ അതു നിന്നെ സഹായിക്കും എന്നു മാത്രമാണ്‌.” ആല്‍കെമിസ്റ്റ്‌ പറഞ്ഞു.
"en_XX: One afternoon, they passed by the encampment of one of the tribes. At each corner of the camp were Arabs garbed in beautiful white robes, with arms at the ready. The men were smoking their hookahs and trading stories from the battlefield. No one paid any attention to the two travelers.",ml_IN: ഒരു ദിവസം ഉച്ചനേരത്ത്‌ ഏതോ ഒരു ഗോത്രക്കാരുടെ പട്ടാളത്താവള ത്തിനരികില്‍ക്കൂടി അവര്‍ കടന്നുപോയി. അതിന്റെ നാലു മൂലകളിലും വെള്ളവസ്ത്രം ധരിച്ച അറബിയോദ്ധാക്കള്‍ കാവല്‍ നിന്നിരുന്നു.
"en_XX: The alchemist sounded angry: “Trust in your heart, but never forget that you’re in the desert. When men are at war with one another, the Soul of the World can hear the screams of battle. No one fails to suffer the consequences of everything under the sun.”","ml_IN: അതു കേട്ടപ്പോള്‍ അയാള്‍ക്കു ശുണ്ഠിവന്നു: “സ്വന്തം ഹൃദയത്തെ വിശ്വസിക്കുന്നതു നല്ലതുതന്നെ. പക്ഷേ, നമ്മള്‍ മരുഭൂമിയുടെ നടുവിലാ ണെന്ന്‌ ഓര്‍മ്മവേണം. മനുഷ്യര്‍ തമ്മിലുള്ള ഈ പോരാട്ടം. പോര്‍ക്കളത്തില്‍ നിന്നുള്ള നിലവിളികള്‍ പ്രപഞ്ചത്തിന്റെ ആത്മാവും കേള്‍ക്കുന്നുണ്ട്‌. സൂര്യ നുതാഴെ ഈ ലോകത്തില്‍ എന്തു തന്നെ നടന്നാലും അത്‌ ഇവിടെയുള്ള എല്ലാ ജീവജാലങ്ങളേയും ബാധിക്കുന്നു.”"
"en_XX: “You can’t go any farther,” one of them said. “You’re in the area where the tribes are at war.”",ml_IN: “യുദ്ധം നടക്കുന്ന പ്രദേശമാണ്‌. ഇനി നിങ്ങള്‍ മുമ്പോട്ടു പോയ്ക്കൂട.”
"en_XX: “I’m not going very far,” the alchemist answered, looking straight into the eyes of the horsemen. They were silent for a moment, and then agreed that the boy and the alchemist could move along.",ml_IN: “ഞാന്‍ അധികം ദൂരത്തേക്കൊന്നും പോകുന്നില്ല.” അവരുടെ കണ്ണുക ളിലേക്ക്‌ ഉറ്റുനോക്കിക്കൊണ്ട്‌ ആല്‍കെമിസ്റ്റ്‌ പറഞ്ഞു. അവര്‍ രണ്ടു നിമിഷം എന്തോ ആലോചിച്ചുനിന്നു. പിന്നെ യാത്ര തുടര്‍ന്നോളൂ എന്ന്‌ അനുവാദം കൊടുത്തു.
"en_XX: That’s true, the boy thought. He had noticed that, in the midst of the multitude of armed men back at the encampment, there had been one who stared fixedly at the two. He had been so far away that his face wasn’t even visible. But the boy was certain that he had been looking at them.","ml_IN: 135 ആല്‍കെമിസ്റ്റ്‌ വാസ്തവമാണെന്ന്‌ അവനും തോന്നി. കടന്നുപോന്ന പട്ടാളക്യാമ്പില്‍ അനവധി പട്ടാളക്കാരുണ്ടായിരുന്നു. അതില്‍ ഒരാള്‍മാത്രം അവരെത്തന്നെ ഉറ്റുനോക്കിക്കൊണ്ടിരുന്നു. എത്ര അകലെയായിരുന്നു അയാള്‍; മുഖം പോലും വ്യക്തമായിരുന്നില്ല. എന്നാലും അവനു തീര്‍ച്ചയായിരുന്നു, ആ കണ്ണുകള്‍ തങ്ങളെത്തന്നെ നിരീക്ഷിക്കുകയാണെന്ന്‌."
"en_XX: Finally, when they had crossed the mountain range that extended along the entire horizon, the alchemist said that they were only two days from the Pyramids.",ml_IN: ഒടുവില്‍ അവര്‍ ആ മലനിരകളും കടന്നു ചെന്നു. ച്ര്രവാളസീമയില്‍ ഉടനീളം കണ്ടിരുന്ന മലകള്‍. “ഇനി പിരമിഡുകളിലെത്താന്‍ രണ്ടു ദിവസം മതിയാകും.” അയാള്‍ പറഞ്ഞു.
"en_XX: “You already know about alchemy. It is about penetrating to the Soul of the World, and discovering the treasure that has been reserved for you.”",ml_IN: “ആ വിദ്യ നീ വശമാക്കിക്കഴിഞ്ഞല്ലോ. പ്രപഞ്ചത്തിന്റെ ആത്മാവിലേ ക്കിറങ്ങിച്ചെല്ലുക. അത്‌ നിനക്കുവേണ്ടി കാത്തുസൂക്ഷിച്ചുവെച്ചിട്ടുള്ള നിധി സ്വന്തമാക്കുക. അതുതന്നെയാണ്‌ ആല്‍കെമി.”
"en_XX: “No, that’s not what I mean. I’m talking about transforming lead into gold.”","ml_IN: “അതല്ല ഞാനുദ്ദേശിക്കുന്നത്‌.”""” അവന്‍ പിന്മാറിയില്ല: “എനിക്കു പഠിക്കേണ്ടത്‌, ഈയത്തെ എങ്ങനെ സ്വര്‍ണ്ണമാക്കിമാറ്റാമെന്നാണ്‌.”"
"en_XX: “Men have never understood the words of the wise. So gold, instead of being seen as a symbol of evolution, became the basis for conflict.”","ml_IN: “ അറിവുള്ളവരുടെ വാക്കുകള്‍ സാമാന്യജനങ്ങള്‍ വേണ്ടവിധം ഗ്രഹി ക്കുന്നില്ല. സ്വര്‍ണ്ണം ഒരു പ്രതീകം മാത്രമാണ്‌. പരിണാമത്തിന്റെ, വികാസ ത്തിന്റെ, ഉച്ചകോടി. അതു മനസ്സിലാക്കാന്‍ കഴിവില്ലാത്ത മനുഷ്യന്‍, അതിനെ ഒരു ദ്രവ്യമായി കാണുന്നു. അതിന്റെ പേരില്‍ സംഘര്‍ഷങ്ങള്‍ ഉളവാക്കുന്നു.”"
"en_XX: “There was a time when, for me, a camel’s whinnying was nothing more than whinnying. Then it became a signal of danger. And, finally, it became just a whinny again.”","ml_IN: * ഓരോന്നിനും അതിന്റേതായ ഭാഷയുണ്ടല്ലോ,” അവന്‍ പറഞ്ഞു: “തുടക്കത്തില്‍ ഒട്ടകത്തിന്റെ അമറല്‍. എന്നെ സംബന്ധിച്ചിടത്തോളം അതിന്‌ പ്രത്യേകിച്ച്‌ അര്‍ത്ഥമൊന്നുമുണ്ടായിരുന്നില്ല. പിന്നെപ്പിന്നെ ഞാന്‍ മനസ്സിലാക്കി അത്‌ ആപത്തിന്റെ സൂചനയാണെന്ന്‌. ദാ ഒടുവിലിപ്പോള്‍ വീണ്ടും അത്‌ വെറും കരച്ചിലായിത്തീര്‍ന്നിരിക്കുന്നു.”"
"en_XX: “I have known true alchemists,” the alchemist continued. “They locked themselves in their laboratories, and tried to evolve, as gold had. And they found the Philosopher’s Stone, because they understood that when something evolves, everything around that thing evolves as well.","ml_IN: “യഥാര്‍ത്ഥ ആല്‍കെമിസ്റ്റുകളെ ഞാന്‍ കണ്ടിട്ടുണ്ട്‌. അവര്‍ പരീക്ഷണ ശാലകളില്‍ അടച്ചുപൂട്ടി ഇരുന്ന്‌ ഒന്നില്‍നിന്ന്‌ കൂടുതല്‍ മെച്ചപ്പെട്ട മറ്റൊ ന്നിനെ വികസിപ്പിച്ചെടുക്കാനുള്ള ശ്രമം നടത്തുന്നു. പരിണാമ്പ്രക്രിയയി ലൂടെ പ്രകൃതി സ്വര്‍ണ്ണത്തിനു രൂപം കൊടുത്തില്ലേ, അതുപോലെ. ആ ശ്രമത്തിനിടയില്‍ കണ്ടുകിട്ടിയതാണ്‌ ചിന്താമണി. അതോടെ ഒരു കാര്യം 136 ആല്‍കെമിസ്റ്റ്‌ കൂടി അവര്‍ മനസ്സിലാക്കി. ഒന്നിനെ മാര്രമായി വികസിപ്പിച്ചെടുക്കുക സാദ്ധ്യ മല്ല. അതിനോടൊപ്പം അതിന്റെ ചുറ്റുമുള്ളതെല്ലാംതന്നെ ആ പരിണാമ ത്തിനു വിധേയമാകുന്നു.”"
"en_XX: “And then there were the others, who were interested only in gold. They never found the secret. They forgot that lead, copper, and iron have their own Personal Legends to fulfill. And anyone who interferes with the Personal Legend of another thing never will discover his own.”",ml_IN: ം “പിന്നെ വേറെ ചിലര്‍. സ്വര്‍ണ്ണത്തില്‍ മാത്രമേ അവര്‍ക്കു താത്പര്യ മുണ്ടായിരുന്നുള്ളു. അങ്ങനെയുള്ളവര്‍ക്കൊന്നും ആ രഹസ്യം കണ്ടെ ത്താനായില്ല. ഈയമായാലും ചെമ്പായാലും ഇരുമ്പായാലും അവയക്കൊ ക്കെയും അവയുടേതായ സ്ഥാനവും പ്രയോജനവും പ്രകൃതിയിലുണ്ടെന്ന്‌ അവര്‍ ഓര്‍മ്മിച്ചില്ല. ശ്രപഞ്ചത്തിലെ ഓരോ സൃഷ്ടിക്കും നിറവേറ്റുവാനായി അതിന്റേതായൊരു ദൌാത്യമുണ്ട്‌. ഇവിടെ ഒന്നുംതന്നെ വെറുതേ എന്നില്ല.
"en_XX: “This desert was once a sea,” he said.",ml_IN: “ഈ മരുഭൂമി പണ്ടുപണ്ട്‌ സമുദ്രമായിരുന്നു.” അയാള്‍ പറഞ്ഞു.
"en_XX: “I noticed that,” the boy answered.",ml_IN: “ആ ധൈര്യം കാട്ടിയത്‌ ഞാനാണ്‌.” അവന്‍ പറഞ്ഞു.
"en_XX: They were tribesmen dressed in blue, with black rings surrounding their turbans. Their faces were hidden behind blue veils, with only their eyes showing.",ml_IN: അവരും ഏതോ ഗോ്രത്തില്‍പ്പെട്ടവരായിരുന്നു. നീല നിറത്തിലുള്ള കുപ്പായങ്ങള്‍. തലപ്പാവിനു ചുറ്റും കറുത്ത വളയങ്ങള്‍. നീല മൂടുപടം കൊണ്ട്‌ മുഖമാകെ മൂടിയിരുന്നു. കണ്ണുകളുടെ സ്ഥാനത്തു മാത്രം രണ്ടു ദ്വാരങ്ങള്‍.
"en_XX: Even from a distance, their eyes conveyed the strength of their souls. And their eyes spoke of death.",ml_IN: അകലെനിന്നേ അവനു ബോദ്ധ്യമായി. ആ കണ്ണുകളില്‍ അവരുടെ ആത്മഭാവം സ്ഫുരിച്ചുനിന്നിരുന്നു. മരണത്തിന്‍െറ സന്ദേശമാണ്‌ അവന്‍ അവയില്‍ തെളിഞ്ഞുകണ്ടത്‌.
en_XX: THE TWO WERE TAKEN TO A NEARBY MILITARY CAMP. A soldier shoved the boy and the alchemist into a tent where the chief was holding a meeting with his staff.,ml_IN: രര്ഭപേരെയും അവര്‍ അരികിലുള്ള ഒരു പട്ടാളത്താവളത്തിലേക്ക്‌ പിടിച്ചുകൊണ്ടുപോയി. ഒരു പട്ടാളക്കാരന്‍ വന്നു രണ്ടാളെയും ഒരു മിച്ച്‌ ആ കൂടാരത്തിനുള്ളിലേക്ക്‌ തള്ളി. അവിടെ അവരുടെ തലവന്‍ കാര്യമാ യൊരു ചര്‍ച്ചയില്‍ ഏര്‍പ്പെട്ടിരിക്കുകയായിരുന്നു.
"en_XX: “These are the spies,” said one of the men.",ml_IN: “ദാ രണ്ടു ചാരന്മാര്‍.” ഭടന്മാരില്‍ ഒരാള്‍ അറിയിച്ചു.
"en_XX: “We’re just travelers,” the alchemist answered.","ml_IN: “അല്ല, ഞങ്ങള്‍ വെറും യാത്രക്കാരാണ്‌."
en_XX: “You were seen at the enemy camp three days ago. And you were talking with one of the troops there.”,"ml_IN: “നുണം” ഭടന്മാരില്‍ ഒരാള്‍ കയര്‍ത്തു, “മൂന്നു ദിവസം മുമ്പ്‌ ശത്രു പാളയത്തിനടുത്ത്‌ ഞാനിവരെ കാണുകയുണ്ടായി. അവരിലൊരാളുമായി ഇവര്‍ സംസാരിക്കുകയും ചെയ്തു.”"
en_XX: said the alchemist. “I have no information about troops or about the movement of the tribes. I was simply acting as a guide for my friend here.”,ml_IN: ഈ മരുഭൂമിയില്‍ അങ്ങിങ്ങ ലഞ്ഞു നടക്കുക എന്‍െറ പതിവാണ്‌. ജ്യോതിശ്ലാസ്ത്രവും കുറച്ചൊക്കെ അറിയാം. അതല്ലാതെ.” ആല്‍കെമിസ്റ്റ്‌ ഒന്നു നിര്‍ത്തിയിട്ട്‌ തുടര്‍ന്നു: “പട്ടാള ക്കാരെപ്പറ്റിയോ അവരുടെ നീക്കങ്ങളെപ്പറ്റിയോ എനിക്ക്‌ യാതൊരു വിവര വുമില്ല. ഞാന്‍ എന്‍െറ ഈ ചങ്ങാതിക്ക്‌ വഴികാട്ടാനായി കൂടെപോന്നതാണ്‌.”
en_XX: “Who is your friend?” the chief asked.,ml_IN: “ആരാണ്‌ നിന്‍െറ ചങ്ങാതി?” ചോദിച്ചത്‌ പട്ടാളമേധാവിയായിരുന്നു.
"en_XX: “An alchemist,” said the alchemist. “He understands the forces of nature. And he wants to show you his extraordinary powers.”",ml_IN: “ഇയാളൊരു ആല്‍കെമിസ്റ്റാണ്‌. പ്രകൃതിയുടെ ശക്തികളെപ്പറ്റി അപാ രമായ അറിവുണ്ട്‌. പല അത്ഭുതകൃത്യങ്ങളും കാണിക്കാന്‍ കഴിയും.”
en_XX: “What is a foreigner doing here?” asked another of the men.,ml_IN: “ഇവിടെ എന്തു ചെയ്യുന്നു?” അവരിലൊരാള്‍ തിരക്കി.
"en_XX: “He has brought money to give to your tribe,” said the alchemist, before the boy could say a word. And seizing the boy’s bag, the alchemist gave the gold coins to the chief.",ml_IN: ആല്‍ക്കെമിസ്റ്റ്‌ പറഞ്ഞു. അവനു മറിച്ചൊന്നും പറയാനിടകിട്ടിയില്ല. അതി നുമുമ്പേ അയാള്‍ അവന്‍െറ സഞ്ചി വലിച്ചെടുത്തു. അതിലുണ്ടായിരുന്ന സ്വര്‍ണ്ണം മുഴുവന്‍ ആ പട്ടാളത്തലവന്‍െറ മുമ്പിലേക്കു ചൊരിഞ്ഞു.
"en_XX: “What is an alchemist?” he asked, finally.",ml_IN: 138 പ ആല്‍കെമിസ്റ്റ്‌ ഒടുവില്‍ അയാള്‍ ചോദിച്ചു: “ആല്‍കെമിസ്റ്റ്‌ എന്നു പറഞ്ഞാലെ ന്താണ്‌?”
"en_XX: “It’s a man who understands nature and the world. If he wanted to, he could destroy this camp just with the force of the wind.”",ml_IN: ം “പ്രപഞ്ചത്തിന്‍െറ നിഗൂഡതകളെല്ലാം മനസ്സിലാക്കിയിട്ടുള്ള ജ്ഞാനി യാണ്‌ ആല്‍കെമിസ്റ്റ്‌.” അയാള്‍ പറഞ്ഞുകൊടുത്തു: “വേണമെന്നു വെച്ചാല്‍ ഒരു നിമിഷം മതി ഈക്കനൊരു കൊടുങ്കാറ്റായി ഈ പാളയമാകെ പറത്തിക്കളയും.”
"en_XX: The men laughed. They were used to the ravages of war, and knew that the wind could not deliver them a fatal blow. Yet each felt his heart beat a bit faster. They were men of the desert, and they were fearful of sorcerers.","ml_IN: കേട്ടുനിന്നവരെല്ലാം ഉറക്കെ ചിരിച്ചു. യുദ്ധത്തിന്‍െറ ഭയാനകതകള്‍ അവര്‍ നേരിട്ടറിഞ്ഞിരുന്നു. പക്ഷേ, തങ്ങളുടെ ഈ സൈനികത്താവളമാകെ നിലംപരിശാക്കാന്‍ ശക്തിയുള്ള കൊടുങ്കാറ്റ്‌! എന്തോ അങ്ങനെയൊന്ന്‌ സംഭാവ്യമല്ല എന്നൊരു തോന്നല്‍. എന്നിട്ടും അവരുടെയുള്ളില്‍ നേരിയ ആശങ്കയുടെ മിടിപ്പ്‌. എര്രയൊക്കെയായാലും ഈ മരുഭൂമിയില്‍ ജനിച്ചു വളര്‍ന്നവര്‍. മ്രന്തവാദികളും അവരുടെ ത്രന്ത്ര മ്രന്തങ്ങളും അവര്‍ ഉള്ളാലെ ഭയപ്പെട്ടിരുന്നു."
"en_XX: “He needs three days,” answered the alchemist. “He is going to transform himself into the wind, just to demonstrate his powers. If he can’t do so, we humbly offer you our lives, for the honor of your tribe.”","ml_IN: “അവനു സ്വയം കൊടുങ്കാറ്റായി മാറേണ്ടതുണ്ട്‌, അതിന്‍െറ അപാരമായ ശക്തി പ്രകടമാക്കാന്‍. അതിനവനു കഴിഞ്ഞില്ലെങ്കില്‍ നിങ്ങള്‍ക്ക്‌ ഞങ്ങ ളുടെ ജീവനെടുക്കാം നിങ്ങളുടെ ഗോത്രത്തിന്റെ മാനം വ “അല്ലെങ്കിലും നിങ്ങളുടെ ജീവന്‍ എന്റെ കൈയിലല്ലേ, അയാളുടെ സ്വരത്തില്‍ ഭീഷണിയും ധിക്കാരവും “അതിനി പ്രതേകിച്ച്‌ എനിക്കായി തരേണ്ടതില്ലല്ലൊ.”"
