English Text (en_xx),Malayalam Text (ml_xx)
"en_xx: The merchant was silent for a few moments. Then he said, “The Prophet gave us the Koran, and left us just five obligations to satisfy during our lives. The most important is to believe only in the one true God. The others are to pray five times a day, fast during Ramadan, and be charitable to the poor.”","ml_xx: അതുപ്രകാരം നമ്മളോരോരുത്തരും ജീവിതത്തില്‍ അഞ്ചു കാര്യങ്ങള്‍ തീര്‍ച്ചയായും ചെയ്തിരിക്കണം. അതില്‍ ഏറ്റവും പ്രധാനപ്പെട്ടത്‌ ദൈവ മൊന്നേയുള്ളു, അവനില്‍ മാത്രം വിശ്വാസമര്‍പ്പിക്കുക എന്നതാണ്‌. പിന്നെ ദിവസവും അഞ്ചുനേരം മുടങ്ങാതെ പ്രാര്‍ത്ഥിക്കുക. റംദാന്‍ മാസത്തില്‍ ഉപവസിക്കുക. അഗതികളെ ആവുംവിധം സഹായിക്കുക.” അപ്പോഴേക്കും അയാളുടെ തൊണ്ട ഇടറാന്‍ തുടങ്ങി. വലിയ വിശ്വാസി. ദൈവത്തിന്റെ സ്മരണതന്നെ അയാളെ വികാരാധീനനാക്കുന്നു. അയാളുടെ കണ്ണുകള്‍ നിറഞ്ഞൊഴുകുവാന്‍ തുടങ്ങി. സ്വന്തം സ്ഥിതിയെ കുറിച്ച്‌ അതൃപ്തി ഇല്ലെന്നല്ല... എന്നാലും ഇസ്ലാമിന്റെ പ്രമാണങ്ങള്‍ വിട്ടു നട ക്കാന്‍ അയാള്‍ തയ്യാറായിരുന്നില്ല."
"en_xx: “Two days ago, you said that I had never dreamed of travel,” the merchant answered. “The fifth obligation of every Muslim is a pilgrimage. We are obliged, at least once in our lives, to visit the holy city of Mecca.",ml_xx: “അഞ്ചാമത്തെ പ്രമാണമോ? അത്‌ പരിശുദ്ധ മക്കയിലേക്കുള്ള തീര്‍ത്ഥ യാത്രതന്നെ. ജീവിതത്തിലൊരിക്കലെങ്കിലും ഓരോ വിശ്വാസിയും ആ യാത്ര നടത്തിയിരിക്കണം. രണ്ടു ദിവസം മുമ്പ്‌ നീ പറഞ്ഞില്ലേ എനിക്ക്‌ ദൂരയാത്ര യെക്കുറിച്ചുള്ള സ്വപ്നങ്ങളൊന്നും ഇല്ലെന്ന്‌. ഏതോ ഓര്‍മ്മകളില്‍ അയാ ളുടെ വാക്കുകള്‍ ഒരു നിമിഷം കുരുങ്ങിക്കിടന്നു. “പിരമിഡുകളെക്കാള്‍ എത്രയോ ദൂരെയാണ്‌ മക്ക. ചെറുപ്പകാലത്ത്‌ എന്റെ ഏറ്റവും വലിയ മോഹം അതായിരുന്നു. മക്കയില്‍ പോകാന്‍ വേണ്ട പണം സ്വരൂപിക്കുക.
"en_xx: “I’ve already told you. I need to buy my sheep back, so I have to earn the money to do so.”",ml_xx: “ഞാന്‍ നേരത്തേ പറഞ്ഞതുതന്നെ. കുറെ ആടുകളെ വാങ്ങണം.
"en_xx: “I’ve had this shop for thirty years. I know good crystal from bad, and everything else there is to know about crystal. I know its dimensions and how it behaves. If we serve tea in crystal, the shop is going to expand. And then I’ll have to change my way of life.”","ml_xx: “കഴിഞ്ഞ മുപ്പതു കൊല്ലമായി ഞാനീ കച്ചവടം നടത്തുന്നു. സ്ഫടി കത്തെ സംബന്ധിച്ച വിവരങ്ങളൊക്കെയും എനിക്കു മനഃപാഠമാണ്‌. ഓരോ ന്നിന്റെയും ഗുണദോഷങ്ങള്‍ എനിക്കു നന്നായറിയാം. ശരിയാണ്‌, നീ പറ ഞ്ഞതുപോലെ ചില്ലുഗ്ലാസ്സുകളില്‍ ചായ പകര്‍ന്നു വില്ക്കാം. കച്ചവടം മെച്ച പ്പെടും. വരവും വര്‍ദ്ധിക്കും. പക്ഷേ, അതിനനുസരിച്ച്‌ എന്റെ ജീവിത രീതിയും മാറ്റേണ്ടിവരും.”"
"en_xx: “Well, isn’t that good?”",ml_xx: “അതിനെന്താ? അത്‌ നല്ലതല്ലേ?”
"en_xx: The boy didn’t know what to say. The old man continued, “You have been a real blessing to me. Today, I understand something I didn’t see before: every blessing ignored becomes a curse. I don’t want anything else in life. But you are forcing me to look at wealth and at horizons I have never known. Now that I have seen them, and now that I see how immense my possibilities are, I’m going to feel worse than I did before you arrived. Because I know the things I should be able to accomplish, and I don’t want to do so.”","ml_xx: “നീ വന്നത്‌ വാസ്തവത്തില്‍ ഒരനുധ്രഹംതന്നെയാണ്‌.” അയാള്‍ തുടരുകയായിരുന്നു: “മുമ്പ്‌ അറിയാതിരുന്ന ഒരുപാടു കാര്യങ്ങള്‍ ഇപ്പോള്‍ ഞാന്‍ മനസ്സിലാക്കാന്‍ തുടങ്ങിയിരിക്കുന്നു. അനുഗ്രഹങ്ങളെ അവഗണിച്ചു കൂടാ... എങ്കില്‍ അവ ശാപങ്ങളായി തിരിച്ചടിക്കും. എനിക്കിനി ജീവിതത്തില്‍ കൂടുതലാശകളൊന്നുമില്ല. പക്ഷേ, നിന്റെ ശാഠ്യം... എന്റെ സങ്കല്പങ്ങള്‍ ക്കെല്ലാം അപ്പുറത്തുളെ്ളൊരു ലോകവും ഐശ്വര്യവും ചൂണ്ടിക്കാട്ടുന്നു. ആ സാദ്ധ്യതകള്‍ എന്റെ മനസ്സിനെ അലോസരപ്പെടുത്തുന്നു. മുമ്പെങ്ങുമില്ലാത്ത വിധം. എല്ലാം എനിക്കെത്തിപ്പിടിക്കാനാവുന്ന ദൂരത്തില്‍. എന്നിട്ടും ഒന്നി നുവേണ്ടിയും മോഹം തോന്നുന്നില്ല."""
"en_xx: They went on smoking the pipe for a while as the sun began to set. They were conversing in Arabic, and the boy was proud of himself for being able to do so. There had been a time when he thought that his sheep could teach him everything he needed to know about the world. But they could never have taught him Arabic.","ml_xx: സുര്യന്‍ അസ്തമിക്കാന്‍ തുടങ്ങി. അപ്പോഴും അവര്‍ ഹുക്ക വലിച്ചു കൊണ്ടിരിക്കുകയായിരുന്നു. അറബിഭാഷയിലാണ്‌ അവര്‍ സംസാരിച്ചിരു ന്നത്‌. സ്വന്തം കഴിവില്‍ അവന്‌ നല്ല മതിപ്പു തോന്നി. അറിയേണ്ടതായിട്ടുള്ള തെല്ലാം ആടുകളില്‍നിന്ന്‌ ഗ്രഹിക്കാമെന്ന്‌ ഒരുകാലത്ത്‌ അവന്‍ വെറുതെ | ആല്‍കെമിസ്റ്റ്‌ വിചാരിച്ചിരുന്നു. എന്തൊക്കെ പഠിച്ചാലും ആടുകളില്‍നിന്ന്‌ അറബി ഭാഷ വശമാക്കാന്‍ കഴിയുമായിരുന്നില്ലല്ലോ. വേറെയും പലതും കാണും, അവര്‍ക്ക്‌ പഠിപ്പിക്കാന്‍ പറ്റാത്തതായിട്ട്‌. വാസ്തവത്തില്‍ അവ തന്നെ പഠിപ്പിക്കുക യായിരുന്നില്ലല്ലെ. താന്‍ അവയെ കണ്ടു പഠിക്കുകയായിരുന്നില്ലേ. അരി കില്‍ മിണ്ടാതിരുന്നിരുന്ന മുതലാളിയുടെ മുഖത്തേക്ക്‌ അവന്‍ കണ്ണുകള്‍ തിരിച്ചു."
en_xx: “What does that mean?”,ml_xx: “എന്താണിതിനിത്ര പ്രാധാന്യം?”
"en_xx: And, in that way, the months passed.",ml_xx: അങ്ങനെ മാസങ്ങള്‍ കടന്നുപോയി....
en_xx: He waited patiently for the merchant to awaken and open the shop. Then the two went off to have some more tea.,ml_xx: മുതലാളി ഉണര്‍ന്ന്‌ കട തുറക്കാനായി അവന്‍ കാത്തിരുന്നു. അയാള്‍ എഴുന്നേറ്റു വന്നപ്പോള്‍ രണ്ടുപേ സ്‌ മം പ്പ ുപേരുംകൂടി വീണ്ടും ഓരോ ഗ്ലാസ്‌ ചായ പം “ഞാനിന്ന്‌ യാത്രയാവുകയാണ്‌.” അവന്‍ പറഞ്ഞു: “ആടുകളെ വാങ്ങി നുള്ളു പണം എന്റെ കൈയിലുണ്ട്‌. മക്കയില്‍ പോയി നിങ്ങളുടെ കൈയിലും.”
"en_xx: “Who told you that?” asked the boy, startled.",ml_xx: ആല്‍കെമിസ്റ്റ്‌ “എന്നാരു പറഞ്ഞു?” ഒരു ഞെട്ടലോടെയാണവന്‍ അതു ചോദിച്ചത്‌.
"en_xx: The hills of Andalusia were only two hours away, but there was an entire desert between him and the Pyramids. Yet the boy felt that there was another way to regard his situation: he was actually two hours closer to his treasure…the fact that the two hours had stretched into an entire year didn’t matter.",ml_xx: ആന്‍ഡലുസിയയിലെ കുന്നിന്‍ചരിവുകള്‍... ഇവിടെനിന്ന്‌ രണ്ടു മണി ക്കൂറിന്റെ ദൂരമേയുള്ളൂ... എന്നാല്‍ പിരമിഡുകളിലെത്താന്‍ അറ്റമില്ലാത്ത ഈ മണല്‍ക്കാടു മുഴുവന്‍ കടന്നു ചെല്ലണം. ഒരു നിലയ്ക്ക്‌ നോക്കിയാല്‍ ഇനി അവിടെയെത്താന്‍ രണ്ടു മണിക്കൂര്‍ കുറച്ച്‌ യാത്ര ചെയ്താല്‍ മതി എന്നു കണക്കാക്കാം. ആ രണ്ടു മണിക്കൂര്‍ ഒരു കൊല്ലമായി നീണ്ടുപോയത്‌.
en_xx: “Where are you bound?” asked the young Arab.,ml_xx: ന്ിങ്ങള്‍ എങ്ങോട്ടാണ്‌?” അകത്തേക്കു കടന്നുവന്ന അറബി യുവാവ്‌ അയാ ളോടു ചോദിച്ചു. അയാളും യാത്രയ്ക്കൊരുങ്ങിത്തന്നെയാണ്‌ വന്നിരുന്നത്‌.
en_xx: “Did you say a king?” he asked.,"ml_xx: ""നിങ്ങള്‍ക്കു നിര്‍ബന്ധിച്ചുകൂടേ?” അവന്‍ ചോദിച്ചു."
"en_xx: “But I’m going to Egypt,” the boy said.","ml_xx: “പക്ഷേ, എനിക്കു പോകേണ്ടത്‌ ഈജിപ്റ്റിലേക്കാണ്‌.”” അവന്‍ പറഞ്ഞു."
"en_xx: “That’s a good luck omen,” the Englishman said, after the fat Arab had gone out. “If I could, I’d write a huge encyclopedia just about the words luck and coincidence. It’s with those words that the universal language is written.”","ml_xx: “ഇത്‌ നല്ല ലക്ഷണംതന്നെ.” തടിയന്‍ അറബി അവിടെനിന്നു പോയ പ്പോള്‍ ഇംഗ്ലീഷുകാരന്‍ പറഞ്ഞു: “കഴിവുണ്ടായിരുന്നെങ്കില്‍ ഞാന്‍ ഇതി നെപ്പറ്റി ഒരു പുസ്തകംതന്നെ എഴുതിയേനെ. ഭാഗ്യം. യാദൃച്ഛികത. എല്ലാ വര്‍ക്കും അറിയാമായിരുന്ന ഭാഷ എന്നു പറഞ്ഞില്ലേ. ഈ വാക്കുകളാ യിരുന്നു ആ ഭാഷയുടെ ആധാരം.” ഒന്നു നിര്‍ത്തി, എന്തോ ആലോചിച്ചെടു ത്തിട്ടെന്നവണ്ണം അയാള്‍ തുടര്‍ന്നു: “നീയും ഞാനും ഇവിടെ ഇങ്ങനെ കണ്ടുമുട്ടിയത്‌ വെറുതെയാണെന്നു കരുതുന്നുണ്ടോ? അതും രണ്ടുപേരുടെ കൈയിലും ഈ മാന്ത്രികക്കല്ലുകളും. പറയൂ, നീയും ഇറങ്ങിത്തിരിച്ചിരി ക്കുന്നത്‌ ആ ആല്‍കെമിസ്റ്റിനെ അന്വേഷിച്ചുംകൊണ്ടാണോ?”"
"en_xx: There were almost two hundred people gathered there, and four hundred animals—camels, horses, mules, and fowl. In the crowd were women, children, and a number of men with swords at their belts and rifles slung on their shoulders. The Englishman had several suitcases filled with books. There was a babble of noise, and the leader had to repeat himself several times for everyone to understand what he was saying.","ml_xx: സ്ര്രീകളും കുട്ടികളുമടക്കം ആ കൂട്ടത്തില്‍ യാത്രക്കാരായി ഏതാ ണ്ടിരുനൂറു പേരോളം ഉണ്ടായിരുന്നു; നാനൂറോളം മൃഗങ്ങളും. കുതിര, ഒട്ടകം, കോഴി, കഴുത. പുരുഷന്മാര്‍ പലരുടെയും അരയില്‍ വാളുകള്‍ തുങ്ങിക്കി ടന്നു. തോളില്‍ തോക്കുകളും. ഇംഗ്ലീഷുകാരന്റെ ഭാണ്ഡക്കെട്ടില്‍ അധികവും പുസ്തകങ്ങളായിരുന്നു. ആകപ്പാടെ വല്ലാത്ത ഒച്ചയും ബഹളവും. എല്ലാ വരെയും കാര്യം പറഞ്ഞു മനസ്സിലാക്കാന്‍ സംഘത്തലവന്‍ ഏറെ ശ്രമ പ്പെടേണ്ടിവന്നു."
"en_xx: “There’s no such thing as coincidence,” said the Englishman, picking up the conversation where it had been interrupted in the warehouse. “I’m here because a friend of mine heard of an Arab who…”",ml_xx: “യാദൃച്ഛികം എന്നൊന്നില്ല.” പാണ്ടികശാലയില്‍വെച്ച്‌ ഇടയില്‍ നിര്‍ത്തേണ്ടിവന്ന വര്‍ത്തമാനം ഇംഗ്ലീഷുകാരന്‍ പിന്നെയും തുടങ്ങി. “മരു ഭൂമിയില്‍ താമസിക്കുന്ന ആ അറബിയെപ്പറ്റി ഒരു ചങ്ങാതി എന്നോടു പറഞ്ഞു. അതുകൊണ്ടാണ്‌.”
"en_xx: The caravan moved toward the east. It traveled during the morning, halted when the sun was at its strongest, and resumed late in the afternoon. The boy spoke very little with the Englishman, who spent most of his time with his books.",ml_xx: 83 ആല്‍കെമിസ്റ്റ്‌ കിഴക്കോട്ടാണ്‌ അവര്‍ യാത്ര ചെയ്തിരുന്നത്‌. യാത്ര അധികവും രാവി ലെയായിരുന്നു. ഉച്ചയ്ക്ക്‌ വെയിലിന്‌ ചൂടേറുന്നതോടെ എവിടെയെങ്കിലും താവളമടിക്കും. പിന്നെ യാത്ര തുടരുക വൈകുന്നേരമായിട്ടാണ്‌. കൂടെയുള്ള ഇംഗ്ലീഷുകാരനോട്‌ അധികമൊന്നും അവന്‍ സംസാരിച്ചില്ല. അയാളുടെ ശ്രദ്ധ മുഴുവന്‍ വായിക്കുന്നതിലായിരുന്നു.
"en_xx: “I’ve crossed these sands many times,” said one of the camel drivers one night. “But the desert is so huge, and the horizons so distant, that they make a person feel small, and as if he should remain silent.”",ml_xx: ഞാന്‍ ഒരു നൂറു തവണ ഈ മരുഭൂമിയില്‍ക്കൂടി യാത്ര ചെയ്തി ട്ടുണ്ട്‌.” ഒരു രാത്രി ഒട്ടകക്കാരിലൊരാള്‍ അവനോടു പറഞ്ഞു: “അറ്റമില്ലാതെ പരന്നു കിടക്കുന്ന മണലാഴി. അകലെ അകലെ എങ്ങോ കാണുന്ന ച്ക്ര വാളങ്ങള്‍. ഇതു രണ്ടിനുമിടയില്‍ മനുഷ്യന്‍ എത്ര നിസ്സാരനാണ്‌. അപ്പോള്‍ പിന്നെ അവന്റെ മൌനം സ്വാഭാവികം മാത്രം!”
"en_xx: “I used to live near El Cairum,” he said. “I had my orchard, my children, and a life that would change not at all until I died. One year, when the crop was the best ever, we all went to Mecca, and I satisfied the only unmet obligation in my life. I could die happily, and that made me feel good.",ml_xx: “എന്റെ വീട്‌ കൈറുമിനടുത്തായിരുന്നു. ഭാര്യയും മക്കളും സ്വന്തമാ യൊരു തോപ്പും. മരണംവരെ യാതൊരല്ലലും അലട്ടും കൂടാതെ കഴിയാ മെന്നാശിച്ചു. ഒരുകൊല്ലം പതിവില്‍ കൂടുതല്‍ വിളവു കൊയ്യാനായി. നല്ല ആദായവും കിട്ടി. എല്ലാവരും കൂടി ഹജ്ജ്‌ യാത്രയും നടത്തി. അങ്ങനെ അവശ്യം ചെയ്തിരിക്കേണ്ട ആ ഒരു കടമയും നിറവേറ്റാനായി. മനസ്സില്‍ നിറഞ്ഞ തൃപ്തി. ഇനി സമാധാനത്തോടെ മരിക്കാം.
"en_xx: “And you ought to read more about the world,” answered the Englishman. “Books are like caravans in that respect.”",ml_xx: അതിനുള്ള അയാളുടെ പ്രതികരണം മറ്റൊരു മട്ടിലായിരുന്നു. “ലോക ത്തെപ്പറ്റി നീയും കൂടുതല്‍ വായിച്ചു മനസ്സിലാക്കണം. ഈ യാത്രപോലെ തന്നെയാണ്‌ പുസ്തകങ്ങളും. കൂടുതല്‍ കൂടുതല്‍ അറിവു പകര്‍ന്നു തരും.”
"en_xx: The immense collection of people and animals began to travel faster. The days had always been silent, but now, even the nights— when the travelers were accustomed to talking around the fires— had also become quiet. And, one day, the leader of the caravan made the decision that the fires should no longer be lighted, so as not to attract attention to the caravan.",ml_xx: മനുഷ്യരും മൃഗങ്ങളുമടങ്ങുന്ന ആ വലിയ സംഘം യാത്ര കുറെക്കൂടി വേഗത്തിലാക്കി. സാധാരണയായി പകലൊക്കെ ഏതാണ്ട്‌ നിശ്ശബ്ദത തന്നെ യാണ്‌; അവരവരുടെ പാടും നോക്കി വഴിയില്‍ ശ്രദ്ധ പതിപ്പിച്ചുകൊണ്ട്‌ അധി കമൊന്നും മിണ്ടാതെയും പറയാതെയുമുള്ള യാത്ര. എന്നാല്‍ രാത്രിയിലെ മട്ടൊന്നു വേറെയാണ്‌. തീ കാഞ്ഞ്‌ യാത്രക്കാരെല്ലാം അവിടവിടെ കൂട്ടം കൂടും. ഈയിടെയായി ഏതാണ്ട്‌ ആ പതിവും നിലച്ച മട്ടാണ്‌. അങ്ങനെ പോകവേ ഒരു ദിവസം സംഘത്തലവന്റെ ഉത്തരവ്‌: “ആരും തീ കൂട്ടരുത്‌...
"en_xx: The Englishman was unable to sleep one night. He called to the boy, and they took a walk along the dunes surrounding the encampment. There was a full moon, and the boy told the Englishman the story of his life.",ml_xx: ഒരു രാത്രിയില്‍ ഇംഗ്ലീഷുകാരന്‍ തീരെ ഉറങ്ങാനായില്ല. അവനെയും വിളിച്ച്‌ കൂട്ടത്തില്‍നിന്നു വിട്ട്‌ അരികിലുള്ള ഒരു മണല്‍ക്കൂനയുടെ ചെരിവില്‍ ചെന്നിരുന്നു. നല്ല നിലാവുള്ള രാത്രി. അന്നാണവന്‍ കൂട്ടുകാരനോട്‌ തന്റെ കഥ പറഞ്ഞത്‌. അവന്‍ ചെന്നതില്‍ പിന്നെ സ്ഫടികപ്പാത്രക്കടയ്ക്കുണ്ടായ അഭിവൃദ്ധി. അതു കേട്ടപ്പോള്‍ അയാള്‍ക്കു കൂടുതല്‍ രസം തോന്നി. അയാള്‍ പറഞ്ഞു; ഈ പ്രപഞ്ചത്തെ മുഴുവന്‍ കൊണ്ടുനടക്കുന്ന ഒരു ശക്തിയുണ്ട്‌.
"en_xx: THEY WERE STRANGE BOOKS. THEY SPOKE ABOUT MERCURY, salt, dragons, and kings, and he didn’t understand any of it. But there was one idea that seemed to repeat itself throughout all the books: all things are the manifestation of one thing only.",ml_xx: രെ വിചിത്രങ്ങളായിരുന്നു ആ പുസ്തകങ്ങള്‍. രസം. ടാ വ... സര്‍പ്പങ്ങള്‍... രാജാക്കന്മാര്‍... വായിച്ചതിലധികവും അ ു മനസ്സിലാക്കാന്‍ കഴിഞ്ഞില്ല. എന്നാലും ഒരു കാര്യം എല്ലാ യം പം എടുത്തു പറഞ്ഞിട്ടുള്ളത്‌ അവന്റെ ശ്രദ്ധയില്‍പെട്ടു. ഈ ന ം പ സര്‍വ്വചരാചരങ്ങളും ഒരേയൊരു ശക്തിയുടെ വൈവിദ്ധ്യമാ ഭേദങ്ങളാണ്‌.
"en_xx: “Well, then, why do we need all these books?” the boy asked.",ml_xx: ഇക്കണ്ട പുസ്തക ങ്ങളുടെയൊക്കെ ആവശ്യം?” അവന്‍ സംശയം ചോദിച്ചു.
en_xx: “When were these books written?” the boy asked.,ml_xx: ” ഏതുകാലത്തെഴുതപ്പെട്ടതായിരിക്കും ഈ ഗ്രന്ഥങ്ങള്‍?”
en_xx: “Many centuries ago.”,ml_xx: “നൂറ്റാണ്ടുകള്‍ക്കു മുമ്പ്‌.”
"en_xx: “They didn’t have the printing press in those days,” the boy argued. “There was no way for everybody to know about alchemy.",ml_xx: “അന്നുകാലത്ത്‌ അച്ചടി ഉണ്ടായിരുന്നില്ലല്ലൊ. ആല്‍കെമി പോലുള്ള വിഷയങ്ങളെക്കുറിച്ച്‌ സാമാന്യജനങ്ങള്‍ക്ക്‌ വിവരമുണ്ടായിരുന്നില്ല. പിന്നെ എന്തിനാണവര്‍ ഈ രഹസ്യഭാഷ ഉപയോഗിച്ചത്‌? ആര്‍ക്കും നോക്കി മനസ്സി ലാക്കാന്‍ പറ്റാത്ത രേഖാചിത്രങ്ങളും.”
"en_xx: “I learned that the world has a soul, and that whoever understands that soul can also understand the language of things. I learned that many alchemists realized their Personal Legends, and wound up discovering the Soul of the World, the Philosopher’s Stone, and the Elixir of Life.","ml_xx: “ഉവ്വ്‌, ഒരു കാര്യം ഞാന്‍ മനസ്സിലാക്കി.” അവന്‍ പറഞ്ഞു: “ഈ പ്രപ ഞ്ചത്തിനൊരാത്മാവുണ്ട്‌. അതു കണ്ടെത്താന്‍ കഴിയുന്ന ആള്‍ക്ക്‌ പ്രകൃ തിയുടെ ഭാഷയും വശമാക്കാന്‍ കഴിയും. പണ്ടത്തെ ആല്‍കെമിസ്റ്റു കള്‍ ഈ ആത്മബോധം കൈവരിച്ചവരായിരുന്നു. അതുകൊണ്ടാണ വര്‍ക്ക്‌ കണ്ടെത്താനായത്‌. പ്രപഞ്ചത്തിന്റെ ആത്മാവിനെ, ചിന്താമണിയെ, പ്രാണസുധയെ.... ഇതൊന്നും അത്ര വലിയ കാര്യങ്ങളല്ലെന്നും ഞാന്‍ മനസ്സിലാക്കി. ഒരു മരതകക്കല്ലിന്റെ ഉപരിതലത്തില്‍ കുറിച്ചിടാവുന്നതേ യുള്ളൂ."""
"en_xx: The Englishman was disappointed. The years of research, the magic symbols, the strange words, and the laboratory equipment…none of this had made an impression on the boy. His soul must be too primitive to understand those things, he thought.","ml_xx: അവന്റെ വാക്കുകള്‍... ഇംഗ്ലീഷുകാരന്‍ നിരാശ തോന്നി. എത്രയോ വര്‍ഷങ്ങളായുള്ള പരീക്ഷണങ്ങളും നിരീക്ഷണങ്ങളും... നിഗുഡഃമായ പ്രതീ കങ്ങള്‍. വിചിത്രമായ ഭാഷ.... അസാധാരണമായ ഉപകരണങ്ങള്‍. ഇതൊന്നും അവന്റെ മനസ്സില്‍ പ്രതേൃകിച്ചൊരു ചലനവുമുണ്ടാക്കിയില്ലെന്നോ? ഒരു പക്ഷേ, ഇതൊന്നും ഉള്‍ക്കൊള്ളാന്‍തക്ക വികാസം അവന്റെ ബുദ്ധിക്കു കൈവന്നിട്ടുണ്ടാവില്ല!"
"en_xx: “Well, why don’t we go there right now?” the boy asked.","ml_xx: ""എന്നാല്‍ പിന്നെ ഇപ്പോള്‍തന്നെ നമുക്കങ്ങോട്ടു പോയ്ക്കുടേ?”"
en_xx: “Why a revolver?” he asked.,ml_xx: “എന്താവശ്യം?” അവന്‍ ചോദിച്ചുപോയി.
"en_xx: “I had never heard of alchemists before,” the boy said. “Maybe no one here has, either.”",ml_xx: “ഒരാല്‍കെമിസ്റ്റിനെ പറ്റിയും ഞാനിതുവരെ കേട്ടിട്ടില്ല. ഇവിടെയും ആരും കേട്ടിട്ടില്ല എന്നല്ലേ.”
"en_xx: Several women dressed in black came to the well for water, but the boy would speak to none of them, despite the Englishman’s insistence. Then a man approached.","ml_xx: കറുത്ത വസ്ര്രങ്ങള്‍ ധരിച്ച ഏതാനും സ്ത്രീകള്‍ വെള്ളം കോരാന്‍ വന്നു. പക്ഷേ, അവന്‍ ഇരുന്നിടത്തുനിന്ന്‌ എഴുന്നേറ്റതേയില്ല. ഇംഗ്ലീഷു കാരന്‍ പലവട്ടം അവനെ തോണ്ടി. എന്നിട്ടും അവന്‍ കൂട്ടാക്കിയില്ല. കുറച്ചു നേരം കഴിഞ്ഞപ്പോള്‍ ഒരു പുരുഷന്‍ അങ്ങോട്ടു നടന്നു വന്നു."
en_xx: “Do you know someone here who cures people’s illnesses?” the boy asked.,ml_xx: “അസുഖം പിടിപെട്ടാല്‍ ചികിത്സിച്ചു ഭേദമാക്കാന്‍ ഇവിടെ ആരെങ്കി ലുമുണ്ടോ?” അവന്‍ അയാളോടു ചോദിച്ചു.
en_xx: “Why do you want to find that sort of person?” the Arab asked.,ml_xx: “അങ്ങനെയൊരാളെ നിങ്ങള്‍ തിരയുന്നതിന്റെ ഉദ്ദേശ്യം?” അറബിയുടെ ഉത്തരം ഒരു മറുചോദ്യമായിരുന്നു.
en_xx: “What’s your name?” he asked.,ml_xx: “നിന്റെ പേരെന്താണ്‌?” അവന്റെ ചോദ്യം.
"en_xx: “Fatima,” the girl said, averting her eyes.","ml_xx: “ഫാത്തിമ,” നേരെ നോക്കാതെ അവള്‍ മറുപടി പറഞ്ഞു."
en_xx: “That’s what some women in my country are called.”,ml_xx: “എന്റെ നാട്ടിലും ചില സ്ര്രീകള്‍ക്ക്‌ ഈ പേരുണ്ട്‌.”
"en_xx: “It’s the name of the Prophet’s daughter,” Fatima said. “The invaders carried the name everywhere.” The beautiful girl spoke of the invaders with pride.",ml_xx: “പ്രവാചകന്റെ മകളുടെ പേരാണ്‌.” അവള്‍ പറഞ്ഞു: “അന്യ രാജ്യ ങ്ങള്‍ വെട്ടിപ്പിടിച്ചെടുക്കാന്‍ പോയ പടയാളികള്‍ ഈ പേര്‍ അവിടങ്ങളില്‍ പ്രചരിപ്പിച്ചിരിക്കാം...
en_xx: “That’s what I’m going to do. I’m going to start now.”,ml_xx: “അതുതന്നെയാണ്‌ ഞാന്‍ ചെയ്യാന്‍ പോകുന്നത്‌...ഇപ്പോള്‍ തന്നെ തുടങ്ങിയേക്കാം.” നിറഞ്ഞ ഉത്സാഹത്തോടെ ഇംഗ്ലീഷുകാരന്‍ എഴു ന്നേറ്റു.
"en_xx: “I’m going to wait here for you every day. I have crossed the desert in search of a treasure that is somewhere near the Pyramids, and for me, the war seemed a curse. But now it’s a blessing, because it brought me to you.”","ml_xx: “എന്നും ഇവിടെ വന്ന്‌ ഞാന്‍ നിന്നെ കാത്തിരിക്കും.” അവന്‍ പറഞ്ഞു: “പിരമിഡുകള്‍ക്കടുത്ത്‌ എവിടെയോ കിടക്കുന്ന ഒരു നിധിയും തേടിയാണ്‌ എന്റെ ഈ യാത്ര. ഇവിടെ നടക്കുന്ന ഈ യുദ്ധം എന്റെ വഴിമുടക്കി. ഇത്‌ വല്ലാത്തൊരു വിനയായല്ലോ എന്ന്‌ ഞാന്‍ സങ്കടപ്പെട്ടതാണ്‌. പക്ഷേ, ഇപ്പോള്‍ തോന്നുന്നു, വാസ്തവത്തില്‍ അത്‌ നിനച്ചിരിക്കാത്തൊരു അനുഗ്രഹമായാ ണല്ലോതീര്‍ന്നതെന്ന്‌! അതുകൊണ്ടാണല്ലോ എനിക്കു നിന്നെ കാണാന്‍ ഇ ്ര്‍ കഴിഞ്ഞത്‌."
"en_xx: “The war is going to end someday,” the girl said.",ml_xx: “എന്നെങ്കിലുമൊരുനാള്‍ ഈ യുദ്ധം അവസാനിക്കും.” അവള്‍ പറഞ്ഞു.
"en_xx: He rose, and made his way back toward the palm trees. Once again, he perceived the many languages in the things about him: this time, the desert was safe, and it was the oasis that had become dangerous.","ml_xx: അവനെഴുന്നേറ്റ്‌ തിരിച്ചു നടന്നു, ഈന്തല്‍തോപ്പുകളുടെ നേരെ. തനിക്കു ചുറ്റുമുളള സര്‍വ്വവും തന്നോടെന്തൊ വിളിച്ചുപറയുന്നു; അവരുടേതായ ഭാഷയില്‍. ഈ തവണ മരുഭൂമിയാണ്‌ സുരക്ഷിതം. മരുപ്പച്ചയുടെ സ്ഥിതി അപകടത്തിലാണ്‌."
